word,portion
ueyNg,38.46153846153846
ihnTr,5.128205128205129
XauHo,2.5641025641025643
aVnTr,2.5641025641025643
CnoLe,2.5641025641025643
aHmPh,2.5641025641025643
aHnDo,2.5641025641025643
iaDBu,2.5641025641025643
ouVDa,2.5641025641025643
TnuDo,2.5641025641025643
ognKh,2.5641025641025643
nLhNi,2.5641025641025643
ohTNg,2.5641025641025643
aTnTr,2.5641025641025643
QouVu,2.5641025641025643
ognLu,2.5641025641025643
ouTDa,2.5641025641025643
ahcQu,2.5641025641025643
nQgDa,2.5641025641025643
agnHo,2.5641025641025643
aNmPh,2.5641025641025643
aTmPh,2.5641025641025643
nVgUo,2.5641025641025643
oiMCa,2.5641025641025643
